,Date,Weighted_Sentiment_Score,Like Count,Retweet Count,Follower Count,Daily_Avg_Sentiment_Score,Polarity,Tweet Volume
179,2010-07-12,108395.4613,8,43,624179,0.173646670778399,positive,91
180,2010-07-13,1506.1094,0,1,6753,0.22299517323067813,positive,10
181,2010-07-14,12282.316299999999,0,0,28463,0.43151868390542103,positive,7
182,2010-07-15,11975.095299999999,0,0,47572,0.2517257062978222,positive,9
183,2010-07-16,417.7404,0,0,2834,0.14740310515172902,positive,4
184,2010-07-17,1861.9502,0,0,5154,0.3612631354287932,positive,12
185,2010-07-18,339.76579999999996,0,0,15403,0.022058417191456205,neutral,4
186,2010-07-19,64004.6174,0,0,83972,0.7622138022197876,positive,6
187,2010-07-20,5933.7627,0,1,12953,0.4580641269106068,positive,6
188,2010-07-21,24695.790200000003,0,0,53657,0.4602529064241386,positive,11
189,2010-07-22,2297.7684000000004,0,0,4467,0.5143873740765615,positive,6
190,2010-07-23,2751160.1395,1,0,4360050,0.6309926511180718,positive,12
191,2010-07-24,-750.561,0,0,4144,-0.18111993243243243,negative,5
192,2010-07-25,-3803.2025999999996,0,0,22262,-0.1708383164136196,negative,12
193,2010-07-26,14209.3958,0,0,24745,0.5742330086886239,positive,10
194,2010-07-27,6922.6969,0,0,15239,0.45427501148369315,positive,11
195,2010-07-28,-13783.346399999999,0,0,44496,-0.3097659654800431,negative,10
196,2010-07-29,10758.9163,0,0,22562,0.47686004343586563,positive,13
197,2010-07-30,8852.8803,0,0,32607,0.27150244732726103,positive,7
198,2010-07-31,962.6571000000001,0,0,12901,0.07461879699248121,positive,11
199,2010-08-01,4745.128000000001,0,0,10310,0.46024519883608156,positive,5
200,2010-08-02,0.0,0,0,396,0.0,neutral,2
201,2010-08-03,0.0,0,0,3087,0.0,neutral,3
202,2010-08-04,-92.3085,0,0,4195,-0.02200441001191895,neutral,7
203,2010-08-05,2944.7808000000005,0,0,27822,0.10584360577959889,positive,10
204,2010-08-06,6095.9367,0,0,19407,0.31411020250425103,positive,11
205,2010-08-07,7898.6455,0,2,39633,0.19928460956225558,positive,10
206,2010-08-08,-13998.672400000003,0,2,62325,-0.22460045245238827,negative,21
207,2010-08-09,8784.810800000001,0,0,31367,0.28006538081423155,positive,19
208,2010-08-10,-5866.893999999999,0,8,66884,-0.08770696047359923,negative,29
209,2010-08-11,804.0127,0,1,42478,0.01892729819440194,neutral,34
210,2010-08-12,233832.2852,2,16,866461,0.26986491905747284,positive,227
211,2010-08-13,-9797.1096,0,4,156546,-0.06258134525710636,negative,15
212,2010-08-14,4746.209699999999,0,2,50106,0.09471959966472418,positive,23
213,2010-08-15,-9765.413999999999,0,2,42258,-0.23107936583057262,negative,8
214,2010-08-16,21630.559999999998,2,0,59385,0.36423055550878136,positive,17
215,2010-08-17,2901.843,0,0,11612,0.24990036169479848,positive,10
216,2010-08-18,37872.3776,0,2,66420,0.5701782180602812,positive,17
217,2010-08-19,7779.1798,0,0,11624,0.6692343255333792,positive,15
218,2010-08-20,23591.054799999998,2,0,65953,0.35768409976499127,positive,32
219,2010-08-21,-5392.2465,0,0,18143,-0.2972080967866395,negative,14
220,2010-08-22,-63.4377999999997,0,0,29575,-0.0021449805579036247,neutral,13
221,2010-08-23,17823.4365,1,2,45217,0.39414941397611675,positive,22
222,2010-08-24,12441.2358,0,1,27622,0.45039408463961195,positive,10
223,2010-08-25,49774.5541,0,0,76479,0.650826424247179,positive,19
